
{SMT_CULTURE_ROMAN}				Roman
{SMT_GOVERNOR_POLICY_MILITARY}			Military build policy
{SMT_GOVERNOR_POLICY_STRONGHOLD}		Defensive build policy
{SMT_GOVERNOR_POLICY_CULTURAL}			Cultural build policy
{SMT_NO_GOVERNOR}				No governor
{SMT_SHOW_GARRISON}				Show units in garrison
{SMT_SHOW_UNITS}				Show units in army
{SMT_SHOW_UNITS_NAVY}				Show units in navy
{SMT_SHOW_BUILDINGS}				Show buildings in settlement
{SMT_SHOW_VISITORS}				Show visiting characters in settlement
{SMT_SHOW_TRAVELLING_CHARACTERS}		Show characters travelling with army
{SMT_SHOW_TRAVELLING_CHARACTERS_NAVY}	Show characters travelling with navy
{SMT_SHOW_PASSENGERS}				Show units travelling on selected fleet
{SMT_RCLICK_SHOW_SETTLEMENTS}			Click with right mouse button on tab to show a list of your settlements
{SMT_RCLICK_SHOW_CHARACTERS}			Click with right mouse button on tab to show a list of your characters
{SMT_RCLICK_SHOW_ARMIES}			Click with right mouse button on tab to show a list of your military forces
{SMT_LOYALTY_DECREASING}			Loyalty to your governor is declining\nThe people need cheering up
{SMT_LOYALTY_INCREASING}			Loyalty is improving\nKeep up the good work
{SMT_MISSION_BREAK_ALLIANCE_TITLE}		Break Alliance
{SMT_MISSION_BREAK_ALLIANCE_PROPOSAL}		The Senate insists you break your alliance with this faction as they are enemies of Rome
{SMT_MISSION_BREAK_ALLIANCE_EXPIRY}		The Senate has withdrawn your mission to break your alliance with this faction as they are no longer enemies of Rome
{SMT_MISSION_BREAK_ALLIANCE_FAILURE}		The Senate is furious to observe that you have not broken your alliance with this faction
{SMT_MISSION_BREAK_ALLIANCE_SUCCESS}		The Senate observes you have broken your alliance with this faction
{SMT_MISSION_CAPTURE_REBEL_CITY_TITLE}		Capture Rebel Settlement
{SMT_MISSION_CAPTURE_REBEL_CITY_PROPOSAL}	The Senate does not tolerate rebellion, so capture this settlement and assert the authority of Rome
{SMT_MISSION_CAPTURE_REBEL_CITY_EXPIRY}	This settlement has been recaptured and you need no longer attempt to capture it
{SMT_MISSION_CAPTURE_REBEL_CITY_FAILURE}	The Senate is unhappy to note that you have failed to capture this settlement
{SMT_MISSION_CAPTURE_REBEL_CITY_SUCCESS}	The Senate is pleased to note that you have captured this settlement
{SMT_MISSION_DESTROY_REBEL_CITY_TITLE}		Destroy Rebel Settlement
{SMT_MISSION_DESTROY_REBEL_CITY_PROPOSAL}	Rid the empire of this rebellious settlement! Destroy it and set an example to all subjects of Rome
{SMT_MISSION_DESTROY_REBEL_CITY_EXPIRY}	The Senate no longer requires you to destroy this settlement
{SMT_MISSION_DESTROY_REBEL_CITY_FAILURE}	The Senate is unhappy to note that you have failed to destroy this settlement
{SMT_MISSION_DESTROY_REBEL_CITY_SUCCESS}	The Senate is pleased to note that you have destroyed this settlement
{SMT_MISSION_GIVE_BACK_CITY_TITLE}		Return Settlement
{SMT_MISSION_GIVE_BACK_CITY_PROPOSAL}		The Senate requests you return this settlement
{SMT_MISSION_GIVE_BACK_CITY_EXPIRY}		The Senate no longer requires you to return this settlement
{SMT_MISSION_GIVE_BACK_CITY_FAILURE}		The Senate notes you have failed to return this settlement
{SMT_MISSION_GIVE_BACK_CITY_SUCCESS}		The Senate notes you have successfully returned this settlement
{SMT_MISSION_ATTACK_OUTLAW_FACTION_TITLE}	Attack Outlaw Faction
{SMT_MISSION_ATTACK_OUTLAW_FACTION_PROPOSAL}	This faction has been outlawed. The Senate asks that you to attack it
{SMT_MISSION_ATTACK_OUTLAW_FACTION_EXPIRY}	The Senate no longer requires you to attack this faction as peace has been brokered
{SMT_MISSION_ATTACK_OUTLAW_FACTION_FAILURE}	The Senate notes that you have not attacked this faction
{SMT_MISSION_ATTACK_OUTLAW_FACTION_SUCCESS}	The Senate is pleased to note that you have attacked this faction
{SMT_MISSION_CEASE_HOSTILITIES_TITLE}		Cease Hostilities
{SMT_MISSION_CEASE_HOSTILITIES_PROPOSAL}	The Senate asks you to cease your hostilities against this faction
{SMT_MISSION_CEASE_HOSTILITIES_EXPIRY}		The Senate no longer requires you to cease hostilities against this faction
{SMT_MISSION_CEASE_HOSTILITIES_FAILURE}		The Senate is unhappy to note that no cessation of hostilities against this faction has been forthcoming
{SMT_MISSION_CEASE_HOSTILITIES_SUCCESS}	The Senate is pleased to note your cessation of hostilities against this faction
{SMT_MISSION_DECLARE_WAR_TITLE}		Declare War
{SMT_MISSION_DECLARE_WAR_PROPOSAL}		This faction is an enemy of Rome and so the Senate demands you go to war on them
{SMT_MISSION_DECLARE_WAR_EXPIRY}		The Senate no longer requires you to prosecute the war against this faction
{SMT_MISSION_DECLARE_WAR_DECLINED}		The Senate has been angered to see that you have not elected to go to war against our enemy
{SMT_MISSION_DECLARE_WAR_FAILURE}		The Senate has been angered to see that you have stopped prosecuting the war
{SMT_MISSION_DECLARE_WAR_SUCCESS}		The Senate is grateful for your contribution to the war effort
{SMT_MISSION_HELP_PLAYER_TITLE}			Senate assistance
{SMT_MISSION_HELP_PLAYER_PROPOSAL}		The Senate admires your efforts for the empire and would like you to accept this bounty with our gratitude
{SMT_MISSION_ASSASSINATION_TITLE}		Assassination
{SMT_MISSION_ASSASSINATION_PROPOSAL}		The Senate feels the world would be greatly improved without this person so kill him
{SMT_MISSION_ASSASSINATION_EXPIRY_NOW_AN_ALLY}	The assassination mission is no longer required as the target is now a friend of Rome
{SMT_MISSION_ASSASSINATION_EXPIRY_OTHER_MEANS}	The assassination mission is no longer required as the target has died in the meantime
{SMT_MISSION_ASSASSINATION_EXPIRY_HIDING}	The assassination mission is no longer required as the target has gone in to hiding
{SMT_MISSION_ASSASSINATION_EXPIRY_IN_BATTLE}	Your assassination mission is no longer required because the Senate required a discreet assassination, not a noisy death on the battlefield
{SMT_MISSION_ASSASSINATION_SUCCESS}		The Senate is pleased to note the successful assassination
{SMT_MISSION_ASSASSINATION_FAILURE}		The Senate is unhappy to note your failure to assassinate this person
{SMT_MISSION_TAKE_CITY_TITLE}			Take Settlement
{SMT_MISSION_TAKE_CITY_PROPOSAL}		The Senate asks you to take this settlement for the glory of the empire
{SMT_MISSION_TAKE_CITY_EXPIRY}			The Senate no longer requires you to take this settlement
{SMT_MISSION_TAKE_CITY_FAILURE}			The Senate is unhappy to note that you have failed to take this settlement
{SMT_MISSION_TAKE_CITY_SUCCESS}		The Senate is pleased to note that you have taken this settlement
{SMT_MISSION_RECAPTURE_EAGLE_TITLE}		Recapture Legionary Eagles
{SMT_MISSION_RECAPTURE_EAGLE_PROPOSAL}	The Senate expects you to take this settlement and recapture your legionary Eagles for the sake of Roman honour
{SMT_MISSION_RECAPTURE_EAGLE_EXPIRY}		This settlement has been taken and your Eagles are lost
{SMT_MISSION_RECAPTURE_EAGLE_FAILURE}		The Senate is gravely unhappy to note that you have failed to recapture your legionary Eagles
{SMT_MISSION_RECAPTURE_EAGLE_SUCCESS}		The Senate notes with satisfaction that you have recaptured your legionary Eagles
{SMT_MISSION_SEND_EMISSARY_TITLE}		Send Emissary
{SMT_MISSION_SEND_EMISSARY_PROPOSAL}		The Senate asks you to send an emissary to this faction
{SMT_MISSION_SEND_EMISSARY_FAILURE}		The Senate notes your diplomats have failed to contact this faction
{SMT_MISSION_SEND_EMISSARY_SUCCESS}		The Senate notes your emissary has contacted this faction
{SMT_MISSION_DEMAND_SUICIDE_TITLE}		Suicide demand
{SMT_MISSION_DEMAND_SUICIDE_PROPOSAL}		For the good of the empire, the Senate demands the suicide of your faction leader
{SMT_MISSION_DEMAND_SUICIDE_DECLINED}		The Senate is displeased by your refusal to have your faction leader take his own life
{SMT_MISSION_DEMAND_SUICIDE_SUCCESS}		The Senate is satisfied by the suicide of your faction leader
{SMT_SENATE_FAILURE}				If you fail:
{SMT_SENATE_FINE_AWARDED}			You have been penalised for your miserable actions.
{SMT_PENALTY_OUTLAW_DESCRIPTION}		You will be outlawed.
{SMT_PENALTY_OUTLAW}				The Senate declares war on your faction. You are outlawed.
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY_DESCRIPTION}	The censor will investigate your family
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY}		Following investigation of your family by the censor the following family member has committed suicide. The Senate offers its sincere condolences for your loss
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION_DESCRIPTION}	The quaestor will investigate your faction for corruption
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION}			Following investigation of your faction for corruption by the quaestor, you have been fined %d denarii
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION_DESCRIPTION}			The censor will investigate your faction
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION}					Following investigation of your faction by the censor, %S has committed suicide
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES_DESCRIPTION}	The quaestor will investigate your faction for financial irregularities
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES}		Following investigation of your faction for financial irregularities by the quaestor, you have been fined %d denarii
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES_DESCRIPTION}		The quaestor will investigate your faction for accounting irregularities
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES}			Following investigation of your faction for accounting irregularities by the quaestor, you have been fined %d denarii
{SMT_PENALTY_SENATE_DISPLEASURE_DESCRIPTION}			You will incur the Senate's displeasure
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE_DESCRIPTION}		Your secret will be exposed
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE}			Your secret is exposed
{SMT_PENALTY_OFFICES_WITHELD_DESCRIPTION}			Your faction will not be considered for Senate office for four years
{SMT_PENALTY_OFFICES_WITHELD}					It is unlikely the Senate will consider your faction for Senate office for a while
{SMT_SENATE_SUCCESS}						If you succeed:
{SMT_SENATE_BOUNTY_AWARDED}					You have been awarded a bounty for your efforts.
{SMT_REWARD_MAJOR_EXOTIC_UNIT_DESCRIPTION}			You will be rewarded with a major exotic unit
{SMT_REWARD_TWO_MINOR_EXOTIC_UNITS_DESCRIPTION}		You will be rewarded with two minor exotic units
{SMT_REWARD_TWO_BEST_BUILDABLE_UNITS_DESCRIPTION}		You will be rewarded with two of your best buildable units
{SMT_REWARD_ONE_BEST_BUILDABLE_UNIT_DESCRIPTION}		You will be rewarded with one of your best buildable units
{SMT_REWARD_ONE_MINOR_EXOTIC_UNIT_DESCRIPTION}		You will be rewarded with one minor exotic unit
{SMT_REWARD_ONE_BUILDABLE_UNIT_DESCRIPTION}			You will be rewarded with one of your buildable units
{SMT_REWARD_CANNOT_BUILD_A_UNIT}				You cannot be rewarded since you cannot build any units
{SMT_REWARD_UNIT_AT_YOUR_CAPITAL}				Your reward unit is located at your capital:\n
{SMT_REWARD_SENATE_GRATITUDE_DESCRIPTION}			You will earn the Senate's gratitude
{SMT_REWARD_SENATE_GRATITUDE}					The Senate has noted your efforts for Rome and is most grateful
{SMT_REWARD_THROW_GAMES_DESCRIPTION}				Games will be thrown in your capital at the Senate's expense
{SMT_REWARD_MAJOR_REWARD_DESCRIPTION}			You will be richly rewarded
{SMT_REWARD_MODERATE_REWARD_DESCRIPTION}			You will be greatly rewarded
{SMT_REWARD_MINOR_REWARD_DESCRIPTION}				You will be rewarded
{SMT_REWARD_MONEY}						You have been granted a gift of %d denarii
{SMT_REWARD_PROMISE_OF_APPOINTMENT_DESCRIPTION}		You will be given priority for appointment to an office
{SMT_REWARD_PROMISE_OF_APPOINTMENT}				The Senate will pay particular attention to your faction for a Senate office
{SMT_SENATE_ATTITUDE}						The Senate is well disposed towards you
{SMT_SENATE_OFFICE_QUAESTOR_TITLE}				Quaestor
{SMT_SENATE_OFFICE_QUAESTOR_DESCRIPTION}			Junior officer
{SMT_SENATE_OFFICE_AEDILE_TITLE}				Aedile
{SMT_SENATE_OFFICE_AEDILE_DESCRIPTION}				In charge of staging Games
{SMT_SENATE_OFFICE_PRAETOR_TITLE}				Praetor
{SMT_SENATE_OFFICE_PRAETOR_DESCRIPTION}			Commander of the Praetorian Guard
{SMT_SENATE_OFFICE_CONSUL_TITLE}				Consul
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}				Policy maker for the Senate
{SMT_SENATE_OFFICE_CENSOR_TITLE}				Censor
{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}				Guardian of public morality
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_TITLE}			Pontifex Maximus
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}		Supreme religious leader
{SMT_REMOVE_RALLY_POINT}					Remove the rally point for this settlement\nNewly recruited units will join the garrison
{SMT_SET_RALLY_POINT}						Show rally points
{SMT_1_TURN}							1 turn
{SMT_X_TURNS}							%d turns
{SMT_SELECT_UNIT_TO_RECRUIT}					Select unit to recruit
{SMT_SELECT_UNIT_TO_RETRAIN}					Select unit to retrain
{SMT_SET_TO_RECRUIT_MODE}					Show recruitable units
{SMT_SET_TO_RETRAIN_MODE}					Show units in garrison that require retraining and re-equiping
{SMT_MERGE_SELECTED_UNITS}					Merge selected items from left panel into right panel
{SMT_X_PERCENT_COMPLETE}					%d percent complete
{SMT_DIPLOMACY_OFFER_ALLIANCE}					Alliance
{SMT_DIPLOMACY_OFFER_CANCEL_ALLIANCE}				Cancel alliance
{SMT_DIPLOMACY_OFFER_CEASEFIRE}				Ceasefire
{SMT_DIPLOMACY_OFFER_MILITARY_ACCESS}				Military access
{SMT_DIPLOMACY_OFFER_CANCEL_MILITARY_ACCESS}			Cancel military access
{SMT_DIPLOMACY_OFFER_TRADE_RIGHTS}				Trade rights
{SMT_DIPLOMACY_OFFER_CANCEL_TRADE_RIGHTS}			Cancel trade rights
{SMT_DIPLOMACY_OFFER_ATTACK_FACTION}				Attack faction
{SMT_DIPLOMACY_OFFER_CEDE_REGION}				Give region
{SMT_DIPLOMACY_OFFER_SINGLE_PAYMENT}				Make single payment
{SMT_DIPLOMACY_OFFER_YEARLY_PAYMENT}				Regular tribute
{SMT_DIPLOMACY_OFFER_CANCEL_YEARLY_PAYMENT}			Cancel regular tribute
{SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK}			Threaten an attack
{SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK}			Not to attack
{SMT_DIPLOMACY_OFFER_MAP_INFORMATION}				Map information
{SMT_DIPLOMACY_OFFER_BRIBE}					Bribe
{SMT_DIPLOMACY_OFFER_PROTECTORATE}				Become Protectorate
{SMT_MAKE_OFFER}						Make offer
{SMT_MAKE_DEMAND}						Make demand
{SMT_YOUR_DEMANDS}						Your demands
{SMT_YOUR_OFFERS}						Your offers
{SMT_THEIR_OFFERS}						Their offers
{SMT_THEIR_DEMANDS}						Their demands
{SMT_GIVE_X_DENARI}						Give us %d denarii
{SMT_WE_WILL_GIVE_X_DENARI}					We will give %d denarii
{SMT_GIVE_YEARLY_TRIBUTE_OF_X_DENARI}				Pay tribute of %d denarii per turn
{SMT_OFFER_YEARLY_TRIBUTE_OF_X_DENARI}				We will give tribute of %d denarii per turn
{SMT_CANCEL_YEARLY_TRIBUTE_OF_X_DENARI}			Cancel the tribute of %d denarii
{SMT_DIP_ACCEPT_OFFER}						Accept the current proposal
{SMT_DIP_DECLINE_OFFER}						Decline the current proposal
{SMT_DIP_COUNTER_OFFER}					Make a counter offer to the current proposal
{SMT_DIP_NEW_OFFER}						Make a new offer
{SMT_DIP_INIT_OFFER}						Make an offer\nLeave offers or demands blank to find out what the opposition would give or take in return
{SMT_DIP_MAKE_GIFT}						Offer the items as a gift\nOnly certain items can be offered as gifts
{SMT_DIP_INFORM}						Inform opposition of cancellation of previous treaty arrangements
{SMT_TRIBUTE_PAYED}						Tribute paid:
{SMT_TRIBUTE_RECIEVED}						Tribute received:
{SMT_MILITARY_ACCESS_RECEIVED}					Military access received
{SMT_MILITARY_ACCESS_GIVEN}					Military access given
{SMT_TRADE_RIGHTS_GRANTED}					Trade rights granted
{SMT_ABILITIES_AT_A_GLANCE}					Abilities at a glance
{SMT_DESCRIPTION}						Description
{SMT_UPGRADES}							Upgrades
{SMT_X_MEN}							%d men
{SMT_YOUR_ARMY_HAS_X_BUILD_POINTS}				Your army has %d build points
{SMT_SELECT_SIEGE_EQUIPMENT}					Select siege equipment to add to construction queue
{SMT_BUILT}							Built
{SMT_ZOOM_TO_SETTLEMENT}					Locate position of settlement
{SMT_ZOOM_TO_UNIT}						Locate position of unit's army
{SMT_ZOOM_TO_CHARACTER}					Locate position of character
{SMT_OPEN_CONSTRUCTION_WINDOW}				Open construction window for selected settlement
{SMT_NOTHING_TO_CONSTRUCT}					It isn't possible to construct any buildings in the selected settlement
{SMT_OPEN_TRAINING_WINDOW}					Open unit training scroll for selected settlement
{SMT_NOTHING_TO_TRAIN}						It isn't possible to recruit any units in the selected settlement
{SMT_CURRENTLY_TRAINING}					Currently training
{SMT_OPEN_OPTIONS_WINDOW}					Set game options
{SMT_OPEN_SENATE_WINDOW}					Open Senate information screen
{SMT_OPEN_FINANCE_WINDOW}					Open finances window
{SMT_OPEN_DIPLOMACY_WINDOW}					Open diplomatic standing window
{SMT_FACTION_BUTTON_TOOLTIP}					Open faction summary window\nUse right mouse button to locate faction capital
{SMT_SELECTED_ITEM_TOOLTIP}					Current selected item\nClick once to zoom to item
{SMT_BUILD_QUEUE_CONFLICT}					This building is already in the build queue for this settlement
{SMT_BUILD_QUEUE_FULL}						Cannot add this item as the build queue is full
{SMT_BUILD_QUEUE_INSUFFICIENT_FUNDS}				Cannot add this building as you have insufficient funds
{SMT_TRAINING_INSUFFICIENT_POPULACE}				Cannot add this item as there aren't enough people in this settlement to recruit
{SMT_TRAINING_INSUFFICIENT_FUNDS}				Cannot add this item to the training queue as you have insufficient funds
{SMT_TRAINING_QUEUE_FULL}					Cannot add this item as the training queue is full
{SMT_DIPLOMACY_SUMMARY}					Diplomacy Summary
{SMT_WE_HAVE_MILITARY_ACCESS}					We have military access
{SMT_THEY_HAVE_MILITARY_ACCESS}				They have military access
{SMT_PAYING_YOU_TRIBUTE_X_PER_TURN}				Paying you %d denarii in tribute per turn
{SMT_PAYING_THEM_TRIBUTE_X_PER_TURN}				Paying them %d denarii in tribute per turn
{SMT_ASSISTANCE_REQUESTED_AGAINST}				Assistance requested against
{SMT_ASSISTANCE_PROVIDED_AGAINST}				Assistance provided against
{SMT_CONFIRM_OFFER}						Confirm offer details
{SMT_CANCEL_OFFER}						Cancel offer details
{SMT_OFFER_MONEY_TITLE}					Offer Money
{SMT_DEMAND_MONEY_TITLE}					Demand Money
{SMT_AMOUNT_OF_DENARI}					Amount of denarii
{SMT_OFFER_TRIBUTE_TITLE}					Offer Tribute
{SMT_DEMAND_TRIBUTE}						Demand Tribute
{SMT_NUMBER_OF_YEARS}						Number of turns
{SMT_OR_UNTIL_FURTHER_NOTICE}					Or until further notice
{SMT_UNTIL_FURTHER_NOTICE}					Until further notice
{SMT_DEMAND_ATTACK_ON_FACTION}				Demand Attack On Faction
{SMT_OFFER_ATTACK_ON_FACTION}					Offer Attack On Faction
{SMT_WITHIN}							Within
{SMT_YEARS}							Turns
{SMT_GIVE}							Give
{SMT_DEMAND_SETTLEMENT_TITLE}					Demand Settlements
{SMT_OFFER_SETTLEMENT_TITLE}					Offer Settlements
{SMT_CITY}							City
{SMT_CHARACTERS}						Characters
{SMT_STATUS}							Status
